"Station.Name","Station.Latitude","Station.Longitude","Recommended.Vs30..m.s."
"ChalanChoolan",33.659,48.913,325
"Tooshk-e-Ab-e-Sard",33.773,48.569,378
"Gifan",37.893,57.487,558
"Robat",37.903,57.698,391
"Makoo",39.294,44.445,378
"MakooDam1",39.191,44.479,435
"Andabad",36.805,47.987,462
"ArmaganKhaneh",36.976,48.371,459
"SoltanAbad",37.081,47.938,325
"GotvandDam1",32.265,48.921,404
"Lali",32.335,49.091,366
"SarDasht2",32.501,48.833,525
"Hosn",30.769,56.119,564
"Kashkooyeh",30.525,55.638,371
"Qazvin1",36.281,50.011,298
"Qazvin2",36.249,50.036,298
"Zibashahr",36.221,50.182,347
"Ahmadi",27.938,56.665,351
"EsteqlalDam2",27.16,57.101,397
"Kuhestak",26.802,57.023,220
"Minab",27.138,57.072,298
"NakhlNakhoda",27.191,56.34,315
"NesaDam1",28.634,58.411,492
"NesaDam2",28.65,58.389,428
"Roodan",27.445,57.188,347
"Siyahoo",27.759,56.335,368
"Soghan",28.346,56.877,246
"ZiyaratAli",27.745,57.229,394
"Darreh-Asbar",33.45,49.06,584
"Dorood",33.491,49.059,397
"KhoramAbad1",33.491,48.359,368
"ShoolAbad",33.184,49.192,379
"Shazand",33.931,49.406,347
"Hamedan5",34.869,48.534,279
"Kouhdasht",33.524,47.612,298
"NoorAbad",34.072,47.972,393
"PolDokhtar",33.153,47.707,368
"Darbastaneh",33.701,48.817,325
"DehAzna",33.611,48.929,345
"?Zaram",33.804,48.824,397
"Sanandaj1",35.323,46.99,368
"Sanandaj2",35.305,47,507
"Shoeisheh2",35.359,46.676,560
"Armordeh",35.93,45.796,568
"Baneh1",35.972,45.888,567
"Chenareh",35.634,46.304,378
"Marivan",35.521,46.182,393
"Saqez",36.224,46.261,407
"Bandar-e-Abas4",27.19,56.298,351
"Bandar-e-Khamir",26.952,55.582,439
"Qeshm",26.962,56.275,315
"Tomban",26.766,55.863,320
"Dalaki",29.428,51.288,397
"SaedAbad",29.379,51.116,313
"Garmkhan",37.513,57.486,427
"Naveh",37.674,57.421,558
"Shirvan",37.391,57.944,407
"Koloor",37.388,48.723,519
"AghGhala1",37.01,54.452,281
"Mosha1",35.758,52.048,404
"SepidDasht",33.218,48.891,378
"Fareghan",28.008,56.256,304
"Kondar",35.845,51.108,538
"QaniAbad",35.565,51.521,347
"Souleghan",35.821,51.262,435
"Arak",34.101,49.731,371
"Ashtiyan",34.523,50.005,459
"BoeenZahra",35.77,50.051,315
"EmamkhomainiAirport",35.434,51.133,298
"Farmahin",34.498,49.684,371
"Gazoran",34.776,50.509,371
"JoshaghanAstarak",34.045,51.222,345
"Kahak",34.402,50.866,371
"Khondab",34.401,49.154,371
"Mashkat",34.181,51.266,349
"Naragh",34.009,50.836,452
"PanzdahekhordadDam1",34.083,50.622,371
"Parand",35.471,50.971,459
"Raveh",34.249,50.395,452
"Razeghan2",35.341,49.957,395
"Saveh",35.022,50.343,371
"SavehDam1",34.901,50.142,434
"Tafresh",34.684,50.037,431
"Tehran29",35.683,51.411,347
"Varish",35.829,51.174,539
"Veshnaveh",34.251,50.995,378
"Ardebil3",38.217,48.328,371
"Bile-Savar",39.365,48.319,402
"Eslam-Abad3",38.126,47.944,433
"Havigh",38.149,48.891,352
"Helabad",37.936,48.425,429
"Hir",38.083,48.491,404
"Lahrood",38.507,47.826,564
"Odloo",39.302,48.158,471
"QoorichayDam2",38.074,48.296,357
"Razi",38.63,48.095,488
"Taleb-e-Qeshlaqi",38.403,48.206,463
"Basmanj",37.996,46.471,452
"Nahand",38.248,46.47,428
"NahandDam1",38.223,46.479,434
"NahandDam3",38.224,46.481,434
"Tabriz4",38.078,46.298,347
"Tabriz6",38.017,46.388,434
"Liqvan",37.833,46.432,538
"Boldaji",31.943,51.057,347
"Tiqdar",33.558,58.951,423
"Darsejin",36.021,49.237,452
"Sirdan",36.648,49.191,539
"ZarrinAbad",36.427,48.275,373
"Chaghalvandi",33.656,48.558,345
"Chenar",35.278,58.907,564
"Kadkan",35.59,58.869,455
"Kashmar",35.242,58.47,371
"Abdolkhan",31.879,48.344,266
"Ahvaz1",31.32,48.664,315
"Alhaee",31.648,48.599,266
"Bostan",31.723,47.984,266
"Dasht-e-Abbas",32.414,47.825,298
"Dehloran",32.694,47.265,347
"Hoveyzeh",31.46,48.074,266
"Moosiyan",32.518,47.379,347
"Shoosh",32.193,48.245,266
"Douzal",38.86,46.229,488
"Jolfa",38.939,45.631,376
"Kharvanagh",38.688,46.166,432
"Zenooz",38.585,45.834,557
"Fork",28.284,55.221,351
"Kahoorestan",27.216,55.564,298
"Sirik",26.522,57.099,298
"Suza",26.782,56.07,368
"Tabl",26.758,55.725,347
"Bandar-e-Abbas3",27.193,56.293,351
"Gangechin",37.759,44.666,393
"Kahriz",37.872,44.976,431
"AliHoseini",28.756,51.241,298
"KhoramAbad2",33.518,48.371,378
"Firoozabad",37.588,48.235,519
"HosseiniyehOlya",32.671,48.253,368
"Kazeroon",29.625,51.639,325
"Beyram",27.436,53.513,266
"Eshkanan",27.221,53.609,347
"AzimAbad",35.154,58.069,285
"Bonyabad",34.079,59.876,371
"Chakhmagh",35.275,59.832,371
"Jangal",34.701,59.221,220
"Kowli",34.011,59.368,371
"Roshtkhar",34.972,59.623,371
"Shadmehr",35.171,59.041,402
"Rayen",29.607,57.431,452
"SafaDam",29.255,56.971,393
"KohnehJolgeh",38.066,56.477,517
"ShirindarehDam1",37.713,57.11,507
"Forat",35.924,54.311,318
"Jam",35.777,53.901,404
"Kooh-e-Zar",35.446,54.59,492
"NaeimAbad",36.251,54.618,371
"Qods",36.361,55.441,492
"Qoosheh",35.959,54.033,371
"Semnan2",35.592,53.444,287
"Apadana",29.934,52.889,347
"Arsanjan",29.909,53.307,351
"Dodaj",29.537,52.973,423
"Dogonbadan",30.354,50.791,368
"Gooyom",29.822,52.393,345
"Mansorkhani",30.638,51.805,378
"Masiri",30.246,51.519,378
"Pataveh",30.959,51.256,345
"Saadat-shahr",30.076,53.131,376
"Sepidan",30.268,51.977,379
"ShahQasemDam1",30.576,51.568,434
"Shiraz3",29.625,52.531,368
"ValiAsr",29.92,52.889,423
"Zarghan",29.778,52.703,298
"Bahrestan",27.696,52.731,423
"Khonj",27.889,53.431,347
"Riz",28.054,52.074,368
"SeyfAbad",28.167,53.149,368
"Bampoor",27.196,60.448,298
"Bazman",27.864,60.177,470
"ChahAli",27.104,59.717,318
"Dalgan",27.483,59.447,285
"HosseinAbadDehdar",28.462,57.741,287
"IranShahr",27.2,60.685,318
"Kahnooj2",27.947,57.705,356
"Roodbar",28.026,58.003,279
"ZehKelot",27.79,58.594,285
"Dalin",30.06,52.122,397
"ChahMalek",28.554,59.157,318
"Sarzeh",28.334,59.021,393
"KonarTakhteh",29.53,51.394,345
"RostamAbad",35.671,49.86,452
"Davarzan",36.351,56.875,371
"Foroomad",36.502,56.762,371
"Joqata",36.631,57.065,452
"ChaharBagh",36.604,54.502,471
"Shahrood",36.41,54.974,371
"Avagiq",39.332,44.16,345
"HadiShahr",38.839,45.662,371
"PolDasht",39.354,45.06,371
"Qotoor",38.479,44.406,567
"Salmas1",38.201,44.848,371
"Seylab",38.313,44.764,431
"Siah-Cheshmeh",39.066,44.386,345
"GolestanDam2",37.331,55.291,266
"Alivak",36.607,53.069,318
"QaemShahr",36.479,52.875,371
"Qooshchi",37.989,45.036,452
"Chakaneh",36.811,58.509,431
"Chenaran",36.649,59.126,371
"EmamTaghi",35.962,59.443,371
"Farmad",36.445,59.714,371
"Firozeh",36.288,58.589,371
"KardehDam2",36.623,59.664,435
"Mashhad3",36.311,59.535,402
"Mashhad4",36.282,59.502,584
"Mashhad5",36.308,59.47,593
"Neyshaboor",36.206,58.819,371
"Qadamgah",36.111,59.055,452
"ToroqDam2",36.176,59.552,516
"Torqabe",36.309,59.381,343
"ZavinSofla",36.747,59.934,507
"Nir",38.032,47.993,393
"YamchiDam1",38.071,48.075,394
"Abdanan",32.996,47.415,368
"DarehShahr",33.144,47.381,396
"Murmuri",32.731,47.669,394
"Pahle",33.008,46.885,368
"Faryab",28.099,57.229,246
"CheghakhorDam",31.921,50.936,431
"EkbatanDam2",34.754,48.604,277
"Kohani",34.143,48.412,378
"Ardal",32.003,50.66,431
"Khaf",34.579,60.149,371
"Avin",37.734,47.801,471
"Boran-e-olya",39.317,47.522,391
"Damirchi",38.123,47.373,404
"Kaleibar",38.87,47.039,558
"Khomarloo",39.153,47.031,470
"Parsabad",39.655,47.924,371
"Ziveh",39.114,47.648,396
"Ahar",38.474,47.059,298
"NahandDam2",38.224,46.479,434
"SatarkhanDam1",38.455,46.9,538
"SatarkhanDam3",38.456,46.899,538
"AjabShir",37.485,45.891,371
"Amand",38.231,46.156,452
"Naqadeh",36.962,45.373,376
"Nazarkahrizi",37.35,46.75,539
"Orumiyeh1",37.544,45.063,371
"Soofiyan",38.284,45.98,371
"Tabriz5",38.102,46.327,455
"Torkmanchay",37.579,47.391,391
"Chaykandi1",38.375,46.7,378
"Mehtarlo1",38.471,46.71,538
"Sheykh-Khomloo",38.442,46.635,490
"Eslam-Abad",29.421,52.346,564
"Shiraz2",29.631,52.522,368
"Abiz",33.692,59.955,423
"HajiAbad",33.604,59.992,346
"Koozehrash",38.17,44.435,558
"Kerman3",30.256,57.083,220
"Boroojen",31.955,51.302,347
"Bandar-e-Taheri1",27.661,52.352,428
"Bardkhoon",28.062,51.473,298
"Dahram",28.489,52.305,368
"Darolmizan",27.889,52.598,423
"Farrashband",28.861,52.091,368
"Hengam",28.364,52.598,404
"Jaam",27.824,52.331,351
"Darvishi",28.32,51.8,347
"Sharafkhaneh",38.174,45.487,371
"Golpayegan",33.461,50.287,298
"GolpayeganDam2",33.405,50.085,507
"GolpayganDam1",33.401,50.087,557
"Mahalat",33.904,50.457,452
"Shiraz1",29.637,52.52,368
"Band",37.498,44.999,432
"Oshnaviyeh",37.042,45.099,431
"Silvana",37.395,44.877,345
"Gilanqarb",34.138,45.935,396
"Goorsefid",34.218,45.845,378
"Kerend",34.279,46.241,568
"Soomar",33.875,45.644,429
"BanMazaran",34.473,45.983,434
"Qasreshirin",34.505,45.591,373
"SarPol-e-Zahab",34.455,45.869,368
"Bushkan",28.834,51.698,404
